neighborho,c_predicti,a_predicti,delta_at_7,break_even
Bayview,3310.62077756,164.832630228,14940.5361084,224.0
Bernal Heights,3754.07594908,167.3966853,18129.3251466,249.5
Castro/Upper Market,4254.88702222,185.103940635,20829.4548887,254.5
Chinatown,2706.85662229,196.904725863,8577.25720927,155.0
Crocker Amazon,3585.75087987,164.832630228,17020.5196819,242.0
Diamond Heights,3274.31256818,168.563549513,14437.7137853,216.0
Downtown/Civic Center,3079.08993579,185.103940635,12063.3229194,187.0
Excelsior,2902.72773449,164.832630228,11856.8647028,196.0
Financial District,3887.16515079,196.904725863,17154.267604,218.0
Glen Park,3937.20595905,167.3966853,19520.5999101,262.0
Golden Gate Park,3421.2926199,167.3966853,15620.2950661,228.0
Haight Ashbury,3801.65465891,185.103940635,17412.1480545,232.0
Inner Richmond,3496.25042722,168.563549513,16151.2700445,232.0
Inner Sunset,3307.59263672,168.563549513,14760.7231933,220.0
Lakeshore,3234.69941461,164.832630228,14334.5797445,218.0
Marina,3798.39206638,196.904725863,16665.274799,215.0
Mission,3903.64651443,175.427481564,18532.0855439,244.0
Nob Hill,3262.89507104,196.904725863,12897.8335518,189.0
Noe Valley,4263.04143651,178.240008584,21497.3467538,270.0
North Beach,3793.22634921,196.904725863,16626.2219772,215.0
Ocean View,2842.60705448,164.832630228,11402.3523619,192.5
Outer Mission,3002.14881746,164.832630228,12553.6711,203.0
Outer Richmond,3401.7811746,167.3966853,15472.7885396,226.0
Outer Sunset,3120.92368326,167.3966853,13349.5059051,208.0
Pacific Heights,3993.78991739,196.904725863,18210.3122755,228.5
Parkside,2591.95831205,176.534696963,9042.19122501,166.5
Potrero Hill,4316.66624062,175.427481564,21514.1307374,265.0
Presidio,3637.77254004,167.3966853,17221.1772175,241.5
Presidio Heights,4269.46001984,168.563549513,21961.0285198,282.0
Russian Hill,4025.1711451,196.904725863,18379.7246342,228.0
Seacliff,2954.3668756,167.3966853,12090.3364392,197.0
South of Market,3765.01688781,196.904725863,16556.1441659,214.0
Treasure Island/YBI,3645.6960193,223.521806266,13881.9273624,181.5
Twin Peaks,3687.33194156,168.563549513,16966.2729925,235.0
Visitacion Valley,2630.41886128,164.832630228,9798.20962131,178.0
West of Twin Peaks,4451.75877453,167.3966853,23567.5393655,301.0
Western Addition,3392.17899513,185.103940635,14469.4907081,209.5
